date,DToPcpn,DAvSol,DAvTAir,DMxTAir,DMnTAir,DAvRHum,DAvWind
1985-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-01-06,0.0,0.97,-1.27,-0.05,-0.78,95.8,1.71
1985-01-07,0.0,40.2,-2.04,-0.21,-3.55,87.3,6.56
1985-01-08,0.0,94.4,-10.0,-3.59,-18.9,82.1,1.9
1985-01-09,0.0,62.6,-11.6,-7.51,-18.6,86.7,2.04
1985-01-10,0.0,80.6,-8.33,-5.14,-11.6,91.5,2.89
1985-01-11,0.0,72.9,-10.8,-7.27,-14.3,87.0,3.93
1985-01-12,0.0,96.5,-12.0,-6.0,-16.5,72.4,5.2
1985-01-13,0.0,95.2,-7.52,-0.36,-12.8,79.8,5.05
1985-01-14,0.0,90.2,-7.81,0.94,-16.6,76.0,8.39
1985-01-15,0.0,87.9,-15.4,-10.8,-22.4,69.12,2.47
1985-01-16,0.0,46.07,-9.68,-6.55,-12.6,84.1,3.32
1985-01-17,0.0,82.5,-9.96,-7.71,-14.2,89.1,4.11
1985-01-18,0.0,97.3,-10.1,-7.15,-16.9,85.5,5.65
1985-01-19,0.0,95.1,-26.3,-16.9,-32.7,68.62,8.65
1985-01-20,0.0,94.6,-28.6,-22.9,-33.9,66.75,7.31
1985-01-21,0.0,66.66,-12.7,-8.11,-23.7,82.1,6.12
1985-01-22,0.0,107.0,-8.7,-5.45,-11.1,79.6,6.19
1985-01-23,0.0,76.1,-7.52,-5.37,-9.29,85.4,4.96
1985-01-24,0.0,66.93,-5.64,-3.74,-7.31,89.7,4.19
1985-01-25,0.0,111.2,-14.6,-4.67,-22.0,79.8,8.36
1985-01-26,0.0,72.3,-15.8,-6.87,-23.8,77.2,4.13
1985-01-27,0.0,55.13,-9.59,-3.55,-14.7,75.4,6.4
1985-01-28,0.0,116.0,-15.1,-8.92,-20.3,75.6,2.55
1985-01-29,0.0,73.2,-12.3,-8.27,-19.8,88.5,3.3
1985-01-30,0.0,78.9,-10.3,-5.65,-19.2,89.6,4.41
1985-01-31,0.0,122.9,-24.0,-19.2,-29.4,62.37,4.86
1985-02-01,0.0,124.0,-23.2,-15.1,-29.2,70.8,2.54
1985-02-02,0.0,123.7,-23.1,-16.8,-29.6,65.53,2.07
1985-02-03,0.0,124.9,-18.1,-10.7,-23.8,68.17,3.22
1985-02-04,0.0,95.4,-18.6,-10.5,-25.2,73.5,2.17
1985-02-05,0.0,109.7,-12.2,-7.87,-15.3,88.4,3.08
1985-02-06,0.0,123.7,-11.7,-6.59,-17.3,84.3,3.52
1985-02-07,0.0,134.3,-14.0,-7.67,-19.4,81.0,4.62
1985-02-08,0.0,128.0,-16.5,-5.88,-24.0,77.5,1.79
1985-02-09,0.0,72.5,-11.2,-6.43,-20.0,77.1,4.43
1985-02-10,0.0,58.55,-4.8,-2.51,-7.15,95.6,3.39
1985-02-11,0.0,96.8,-5.08,-3.16,-8.96,90.6,8.19
1985-02-12,0.0,146.8,-9.63,-6.16,-12.6,80.8,9.6
1985-02-13,0.0,134.6,-9.61,-3.28,-14.6,74.6,8.58
1985-02-14,0.0,146.9,-10.8,-8.03,-14.0,71.5,8.57
