STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,ACMH,ACSH,PSUN,TSUN,TAVG,TMAX,TMIN,AWND
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391001,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,67,33,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391002,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,70,38,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391003,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,74,48,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391004,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,81,51,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391005,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,70,56,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391006,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,77,45,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391007,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,85,47,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391008,0.06,0.0,0.0,-9999,-9999,-9999,-9999,-9999,79,59,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391009,0.38,0.0,0.0,-9999,-9999,-9999,-9999,-9999,75,58,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391010,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,67,44,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391011,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,63,39,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391012,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,53,37,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391013,0.32,0.0,0.0,-9999,-9999,-9999,-9999,-9999,44,32,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391014,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,47,27,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391015,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,60,33,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391016,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,52,30,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391017,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,49,22,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391018,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,71,34,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391019,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,66,39,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391020,0.38,0.0,0.0,-9999,-9999,-9999,-9999,-9999,72,33,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391021,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,66,46,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391022,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,55,41,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391023,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,45,40,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391024,0.02,0.0,0.0,-9999,-9999,-9999,-9999,-9999,52,35,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391025,0.20,0.0,0.0,-9999,-9999,-9999,-9999,-9999,65,49,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391026,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,74,56,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391027,0.19,0.0,0.0,-9999,-9999,-9999,-9999,-9999,64,34,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391028,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,40,29,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391029,0.12,0.0,0.0,-9999,-9999,-9999,-9999,-9999,43,32,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391030,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,41,29,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391031,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,48,31,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391101,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,40,29,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391102,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,40,27,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391103,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,44,23,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391104,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,48,28,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391105,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,46,29,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391106,0.04,0.0,0.0,-9999,-9999,-9999,-9999,-9999,53,25,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391107,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,49,35,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391108,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,43,28,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391109,0.12,0.0,0.0,-9999,-9999,-9999,-9999,-9999,59,27,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391110,0.05,0.0,0.0,-9999,-9999,-9999,-9999,-9999,51,22,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391111,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,46,18,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391112,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,45,27,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391113,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,55,30,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391114,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,57,33,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391115,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,63,36,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391116,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,68,38,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391117,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,64,41,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391118,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,52,29,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391119,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,46,26,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391120,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,36,29,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391121,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,37,29,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391122,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,43,22,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391123,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,40,23,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391124,0.03,0.0,0.0,-9999,-9999,-9999,-9999,-9999,41,35,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391125,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,41,34,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391126,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,42,21,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391127,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,46,21,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391128,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,45,22,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391129,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,45,31,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391130,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,42,35,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391201,0.27,0.0,0.0,-9999,-9999,-9999,-9999,-9999,44,39,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391202,0.02,0.0,0.0,-9999,-9999,-9999,-9999,-9999,44,28,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391203,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,32,28,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391204,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,33,24,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391205,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,42,21,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391206,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,51,28,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391207,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,50,32,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391208,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,50,28,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391209,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,54,36,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391210,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,47,30,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391211,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,40,27,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391212,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,48,30,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391213,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,30,18,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391214,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,34,9,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391215,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,48,26,-9999
