      Date,discharge.cfs,runoff.cfs,baseflow.cfs
7/1/1974,1.6,1.6,0
7/2/1974,1.6,1.48,0.12
7/3/1974,1.5,1.28,0.22
7/4/1974,1.5,1.19,0.31
7/5/1974,1.5,1.11,0.39
7/6/1974,1.4,0.94,0.46
7/7/1974,1.4,0.88,0.52
7/8/1974,1.4,0.82,0.58
7/9/1974,1.4,0.77,0.63
7/10/1974,1.6,0.91,0.69
7/11/1974,1.3,0.58,0.72
7/12/1974,1.3,0.55,0.75
7/13/1974,1.4,0.62,0.78
7/14/1974,1.4,0.59,0.81
7/15/1974,1.6,0.74,0.86
7/16/1974,1.6,0.7,0.9
7/17/1974,1.6,0.67,0.93
7/18/1974,1.8,0.82,0.98
7/19/1974,1.8,0.78,1.02
7/20/1974,1.6,0.55,1.05
7/21/1974,1.6,0.53,1.07
7/22/1974,2,0.88,1.12
7/23/1974,1.8,0.65,1.15
7/24/1974,1.8,0.63,1.17
7/25/1974,2.7,1.43,1.27
7/26/1974,1.6,0.33,1.27
7/27/1974,1.3,0.05,1.25
7/28/1974,1.3,0.07,1.23
7/29/1974,1.3,0.09,1.21
7/30/1974,1.3,0.11,1.19
7/31/1974,1.1,0,1.1
8/1/1974,1.1,0.02,1.08
8/2/1974,1.1,0.04,1.06
8/3/1974,1.1,0.06,1.04
8/4/1974,2,0.9,1.1
8/5/1974,1.4,0.3,1.1
8/6/1974,1.3,0.21,1.09
8/7/1974,1.3,0.21,1.09
8/8/1974,1.1,0.03,1.07
8/9/1974,1.1,0.05,1.05
8/10/1974,1.3,0.25,1.05
8/11/1974,1.3,0.25,1.05
8/12/1974,1.3,0.25,1.05
8/13/1974,1.5,0.44,1.06
8/14/1974,1.4,0.33,1.07
8/15/1974,1.3,0.23,1.07
8/16/1974,1.8,0.7,1.1
8/17/1974,1.6,0.48,1.12
8/18/1974,1.3,0.19,1.11
8/19/1974,1.3,0.2,1.1
8/20/1974,1.3,0.2,1.1
8/21/1974,1.4,0.3,1.1
8/22/1974,1.8,0.67,1.13
8/23/1974,1.3,0.18,1.12
8/24/1974,1.1,0,1.1
8/25/1974,1.1,0.02,1.08
8/26/1974,1.3,0.22,1.08
8/27/1974,1.6,0.51,1.09
8/28/1974,1.1,0.03,1.07
8/29/1974,1.1,0.04,1.06
8/30/1974,1.1,0.06,1.04
8/31/1974,1.2,0.17,1.03
9/1/1974,1.1,0.08,1.02
9/2/1974,1.1,0.09,1.01
9/3/1974,1.1,0.11,0.99
9/4/1974,1.1,0.12,0.98
9/5/1974,1.1,0.13,0.97
9/6/1974,1.1,0.13,0.97
9/7/1974,1.1,0.14,0.96
9/8/1974,1.1,0.15,0.95
9/9/1974,1.1,0.16,0.94
9/10/1974,1.1,0.16,0.94
9/11/1974,1.1,0.17,0.93
9/12/1974,1.2,0.26,0.94
9/13/1974,1.3,0.36,0.94
9/14/1974,1.1,0.16,0.94
9/15/1974,1.1,0.17,0.93
9/16/1974,1.1,0.17,0.93
9/17/1974,1.1,0.18,0.92
9/18/1974,1.1,0.18,0.92
9/19/1974,1.1,0.18,0.92
9/20/1974,1.1,0.19,0.91
9/21/1974,1.1,0.19,0.91
9/22/1974,1.1,0.19,0.91
9/23/1974,1.1,0.2,0.9
9/24/1974,1.1,0.2,0.9
9/25/1974,1.1,0.2,0.9
9/26/1974,1.1,0.2,0.9
9/27/1974,1.1,0.2,0.9
9/28/1974,1.2,0.3,0.9
9/29/1974,1.5,0.57,0.93
9/30/1974,1.1,0.17,0.93
10/1/1974,1.1,0.18,0.92
10/2/1974,1.1,0.18,0.92
10/3/1974,1.1,0.19,0.91
10/4/1974,1.1,0.19,0.91
10/5/1974,1.2,0.28,0.92
10/6/1974,1.9,0.93,0.97
10/7/1974,1.5,0.51,0.99
10/8/1974,1.2,0.21,0.99
10/9/1974,1.1,0.12,0.98
10/10/1974,0.9,0,0.9
10/11/1974,1,0.11,0.89
10/12/1974,1.3,0.4,0.9
10/13/1974,1.5,0.57,0.93
10/14/1974,1.9,0.91,0.99
10/15/1974,1.6,0.59,1.01
10/16/1974,1.4,0.38,1.02
10/17/1974,1.3,0.28,1.02
10/18/1974,1.3,0.27,1.03
10/19/1974,1.3,0.27,1.03
10/20/1974,1.3,0.27,1.03
10/21/1974,1.3,0.27,1.03
10/22/1974,1.3,0.27,1.03
10/23/1974,1.4,0.36,1.04
10/24/1974,1.3,0.26,1.04
10/25/1974,1.3,0.26,1.04
10/26/1974,1.3,0.26,1.04
10/27/1974,1.3,0.26,1.04
10/28/1974,2,0.91,1.09
10/29/1974,3.2,1.97,1.23
10/30/1974,3.4,2.03,1.37
10/31/1974,4.7,3.11,1.59
11/1/1974,5.7,3.84,1.86
11/2/1974,2.3,0.44,1.86
11/3/1974,2,0.16,1.84
11/4/1974,1.6,0,1.6
11/5/1974,1.6,0.03,1.57
11/6/1974,1.6,0.06,1.54
11/7/1974,1.6,0.08,1.52
11/8/1974,1.8,0.29,1.51
11/9/1974,1.8,0.29,1.51
11/10/1974,4.4,2.71,1.69
11/11/1974,5,3.09,1.91
11/12/1974,2.8,0.86,1.94
11/13/1974,2.4,0.47,1.93
11/14/1974,2.1,0.19,1.91
11/15/1974,2,0.12,1.88
11/16/1974,2,0.14,1.86
11/17/1974,2,0.17,1.83
11/18/1974,2,0.19,1.81
11/19/1974,2,0.21,1.79
11/20/1974,2,0.23,1.77
11/21/1974,2,0.24,1.76
11/22/1974,2,0.26,1.74
11/23/1974,2.4,0.64,1.76
11/24/1974,3,1.18,1.82
11/25/1974,2.2,0.39,1.81
11/26/1974,2,0.21,1.79
11/27/1974,1.8,0.04,1.76
11/28/1974,1.8,0.07,1.73
11/29/1974,1.8,0.1,1.7
11/30/1974,1.8,0.12,1.68
12/1/1974,1.8,0.14,1.66
12/2/1974,1.8,0.16,1.64
12/3/1974,1.5,0,1.5
12/4/1974,1.3,0,1.3
12/5/1974,1.3,0.02,1.28
12/6/1974,1.3,0.05,1.25
12/7/1974,2,0.71,1.29
12/8/1974,2.2,0.87,1.33
12/9/1974,2.3,0.92,1.38
12/10/1974,2,0.6,1.4
12/11/1974,1.9,0.49,1.41
12/12/1974,1.8,0.39,1.41
12/13/1974,1.8,0.39,1.41
12/14/1974,1.8,0.38,1.42
12/15/1974,2.5,1.03,1.47
12/16/1974,3.2,1.63,1.57
12/17/1974,2.7,1.07,1.63
12/18/1974,2,0.38,1.62
12/19/1974,2,0.38,1.62
12/20/1974,2,0.38,1.62
12/21/1974,2,0.38,1.62
12/22/1974,1.8,0.2,1.6
12/23/1974,1.8,0.21,1.59
12/24/1974,1.8,0.23,1.57
12/25/1974,1.6,0.05,1.55
12/26/1974,1.5,0,1.5
12/27/1974,1.8,0.31,1.49
12/28/1974,2,0.5,1.5
12/29/1974,2,0.49,1.51
12/30/1974,1.8,0.29,1.51
12/31/1974,2,0.49,1.51
1/1/1975,1.8,0.29,1.51
1/2/1975,1.4,0,1.4
1/3/1975,1.6,0.21,1.39
1/4/1975,1.6,0.22,1.38
1/5/1975,1.6,0.23,1.37
1/6/1975,1.6,0.24,1.36
1/7/1975,1.6,0.25,1.35
1/8/1975,1.6,0.25,1.35
1/9/1975,1.6,0.26,1.34
1/10/1975,5.4,3.78,1.62
1/11/1975,9.3,7.14,2.16
1/12/1975,4,1.75,2.25
1/13/1975,2.7,0.46,2.24
1/14/1975,2.7,0.46,2.24
1/15/1975,1.8,0,1.8
1/16/1975,1.6,0,1.6
1/17/1975,1.6,0.03,1.57
1/18/1975,1.6,0.06,1.54
1/19/1975,1.6,0.08,1.52
1/20/1975,1.3,0,1.3
1/21/1975,1.3,0.02,1.28
1/22/1975,1.3,0.05,1.25
1/23/1975,1.3,0.07,1.23
1/24/1975,1.3,0.08,1.22
1/25/1975,2,0.75,1.25
1/26/1975,1.4,0.16,1.24
1/27/1975,1.4,0.17,1.23
1/28/1975,1.4,0.18,1.22
1/29/1975,1.4,0.19,1.21
1/30/1975,1.4,0.2,1.2
1/31/1975,1.4,0.21,1.19
2/1/1975,1.4,0.21,1.19
2/2/1975,1.4,0.22,1.18
2/3/1975,1.3,0.13,1.17
2/4/1975,1.4,0.24,1.16
2/5/1975,1.4,0.24,1.16
2/6/1975,1.3,0.15,1.15
2/7/1975,1.1,0,1.1
2/8/1975,1.1,0.02,1.08
2/9/1975,1.1,0.04,1.06
2/10/1975,1.1,0.06,1.04
2/11/1975,1.1,0.07,1.03
2/12/1975,1.1,0.08,1.02
2/13/1975,1.1,0.1,1
2/14/1975,1.1,0.11,0.99
