"year","month","discharge.mm"
1974,7,2.66022315985058
1974,8,2.26754988677492
1974,9,1.86934600421933
1974,10,2.68787620725028
1974,11,3.84377358855749
1974,12,3.27965142160373
1975,1,3.5174676292411
1975,2,1.97000309675422
1975,3,48.0997106470281
1975,4,20.1148266785376
1975,5,5.51401765149902
1975,6,12.748054851259
1975,7,18.3284398165173
1975,8,3.69444713259915
1975,9,2.32838659105425
1975,10,2.6768149882904
1975,11,3.24093715524416
1975,12,2.62703950297095
1976,1,1.86381539473939
1976,2,18.5330723672751
1976,3,50.2953626105638
1976,4,12.2005245127451
1976,5,4.71207927690789
1976,6,2.10163160237676
1976,7,1.60830123676621
1976,8,1.83837459113167
1976,9,1.2211585731705
1976,10,1.47556660924768
1976,11,1.29858710588964
1976,12,1.12381984632357
1977,1,0.942968916329572
1977,2,12.6208508332204
1977,3,6.39891516828924
1977,4,3.36814117328275
1977,5,1.65088692976174
1977,6,1.70785220740511
1977,7,15.2633760427352
1977,8,8.48008351559022
1977,9,1.71282975593706
1977,10,2.33834168811814
1977,11,2.13647444210037
1977,12,2.32451516441829
1978,1,1.00435868155689
1978,2,0.70625883058819
1978,3,3.02413726363056
1978,4,6.15003774169199
1978,5,10.5402355468674
1978,6,29.4565791511023
1978,7,25.9330278514332
1978,8,2.06070509222521
1978,9,13.7623686298798
1978,10,2.79848839684905
1978,11,3.95991638763621
1978,12,2.04577244662938
1979,1,1.61161960245418
1979,2,1.49160537673951
1979,3,23.8369268585364
1979,4,6.94644550680318
1979,5,4.29728356591248
1979,6,3.67785530415933
1979,7,3.77740627479823
1979,8,10.3201172895659
1979,9,2.10163160237676
1979,10,2.51587425242418
1979,11,3.25752898368398
1979,12,3.56724311456055
1980,1,8.34734888807169
1980,2,6.09915613447655
1980,3,11.7835165579577
1980,4,6.36020090192967
1980,5,2.11213976038864
1980,6,4.06665715059903
1980,7,1.87874804033522
1980,8,7.43037383629783
1980,9,21.5140708769621
1980,10,3.36261056380281
1980,11,2.62703950297095
1980,12,2.62703950297095
1981,1,1.59724001780634
1981,2,13.929393036174
1981,3,2.79848839684905
1981,4,5.42552789982
1981,5,1.81403990941994
1981,6,3.18397187760079
1981,7,2.34608454139006
1981,8,11.4190493932297
1981,9,17.095113902491
1981,10,4.24750808059303
1981,11,3.61701859988
1981,12,3.20775349836453
1982,1,1.79136441055219
1982,2,3.01694747130664
1982,3,30.0422706950278
1982,4,10.7902190953607
1982,5,4.61805891574893
1982,6,4.89458938974587
1982,7,2.7487129115296
1982,8,2.5590130063677
1982,9,2.17850707414791
1982,10,1.87930110128322
1982,11,5.14346681634312
1982,12,8.69411810246386
1983,1,2.49430487545242
1983,2,12.8807894787776
1983,3,6.78052722240502
1983,4,8.60562835078484
1983,5,4.44661002187083
1983,6,2.63810072193083
1983,7,2.08503977393694
1983,8,2.35603963845395
1983,9,2.50370691156831
1983,10,3.19669227940465
1983,11,4.50744672615015
1983,12,3.46216153444171
1984,1,2.02918061818956
1984,2,8.39988967813111
1984,3,4.89458938974587
1984,4,8.28485300094838
1984,5,7.55481254959645
1984,6,22.7142131341088
1984,7,5.98965006677376
1984,8,2.06015203127722
1984,9,2.3870110515416
1984,10,10.3698927748853
1984,11,5.33703814814098
1984,12,10.4749743550042
1985,1,2.74318230204966
1985,2,28.2005777382081
1985,3,15.1538699750324
1985,4,6.88560880252386
1985,5,3.4179166586022
1985,6,4.30834478487236
1985,7,23.4326393055529
1985,8,4.34705905123193
1985,9,7.41101670311804
1985,10,8.17424081134961
1985,11,20.4245408094141
1985,12,4.74526293378752
1986,1,4.06499796775505
1986,2,5.57485435577835
1986,3,28.4605163837653
1986,4,6.18875200805156
1986,5,7.98066947955175
1986,6,5.06603828362398
1986,7,9.39650550641609
1986,8,7.41101670311804
1986,9,13.5334013974103
1986,10,11.0059128650783
1986,11,4.17561015735382
1986,12,3.75528383687847
1987,1,3.00865155708673
1987,2,3.44003909652196
1987,3,8.49501616118606
1987,4,6.02836433313334
1987,5,7.01281282056245
1987,6,3.02524338552655
1987,7,2.43346817117309
1987,8,4.74526293378752
1987,9,4.32493661331217
1987,10,2.9754679002071
1987,11,5.74630324965645
1987,12,7.18426171444055
1988,1,8.35122031470765
1988,2,5.77948690653609
1988,3,6.53164979580777
1988,4,6.93538428784331
1988,5,2.79848839684905
1988,6,2.07784998161302
1988,7,2.75756188669751
1988,8,2.63699460003484
1988,9,3.48815539899743
1988,10,2.06568264075716
1988,11,3.707720595351
1988,12,4.36531006251573
1989,1,12.8846609054135
1989,2,2.1525132095922
1989,3,29.6208382526564
1989,4,4.39738759749937
1989,5,2.68068641492636
1989,6,1.52147066793118
1989,7,4.13025915961833
1989,8,5.29224021135348
1989,9,3.54788598138077
1989,10,1.76868891168444
1989,11,1.20511980567867
1989,12,0.581820117289566
1990,1,8.13607960593803
1990,2,4.41508554783518
1990,3,25.593448429365
1990,4,1.56903390945865
1990,5,5.5339278456268
1990,6,7.95412255404804
1990,7,2.79295778736911
1990,8,6.17547854529971
1990,9,1.34891565215708
1990,10,1.50764414423133
1990,11,1.10722801788376
1990,12,0.948499525809511
1991,1,0.613344591325217
1991,2,2.58777217566338
1991,3,24.1189879420133
1991,4,12.1009735421062
