"","DATE","PRCP","Source.PRCP","TMAX","Source.TMAX","TMIN","Source.TMIN"
"1",1962-06-01,0,"Measured",18.9,"Measured",10.6,"Measured"
"2",1962-06-02,0,"Measured",17.2,"Measured",7.8,"Measured"
"3",1962-06-03,2.5,"Measured",17.8,"Measured",6.7,"Measured"
"4",1962-06-04,3.8,"Measured",25.6,"Measured",12.2,"Measured"
"5",1962-06-05,3.6,"Measured",26.7,"Measured",14.4,"Measured"
"6",1962-06-06,0,"Measured",25,"Measured",12.8,"Measured"
"7",1962-06-07,0,"Measured",25.6,"Measured",12.8,"Measured"
"8",1962-06-08,0,"Measured",24.4,"Measured",8.9,"Measured"
"9",1962-06-09,0,"Measured",26.7,"Measured",17.8,"Measured"
"10",1962-06-10,5.6,"Measured",27.2,"Measured",17.2,"Measured"
"11",1962-06-11,5.3,"Measured",27.2,"Measured",14.4,"Measured"
"12",1962-06-12,0,"Measured",21.1,"Measured",6.7,"Measured"
"13",1962-06-13,0,"Measured",23.3,"Measured",4.4,"Measured"
"14",1962-06-14,0,"Measured",25.6,"Measured",6.7,"Measured"
"15",1962-06-15,0,"Measured",27.2,"Measured",9.4,"Measured"
"16",1962-06-16,0,"Measured",30.6,"Measured",13.3,"Measured"
"17",1962-06-17,0,"Measured",31.7,"Measured",17.2,"Measured"
"18",1962-06-18,14,"Measured",29.4,"Measured",16.1,"Measured"
"19",1962-06-19,0,"Measured",25,"Measured",12.8,"Measured"
"20",1962-06-20,0,"Measured",24.4,"Measured",11.1,"Measured"
"21",1962-06-21,0,"Measured",24.4,"Measured",9.4,"Measured"
"22",1962-06-22,2.5,"Measured",27.2,"Measured",13.3,"Measured"
"23",1962-06-23,0,"Measured",29.4,"Measured",15,"Measured"
"24",1962-06-24,0,"Measured",30,"Measured",12.2,"Measured"
"25",1962-06-25,0,"Measured",33.3,"Measured",12.2,"Measured"
"26",1962-06-26,0,"Measured",25.6,"Measured",11.1,"Measured"
"27",1962-06-27,0,"Measured",31.1,"Measured",8.9,"Measured"
"28",1962-06-28,0,"Measured",31.7,"Measured",13.9,"Measured"
"29",1962-06-29,0,"Measured",31.1,"Measured",15,"Measured"
"30",1962-06-30,0,"Measured",31.1,"Measured",17.2,"Measured"
"31",1962-07-01,0,"Measured",31.7,"Measured",14.4,"Measured"
"32",1962-07-02,43.2,"Measured",25,"Measured",16.1,"Gap-Filled"
"33",1962-07-03,2.5,"Measured",20.6,"Measured",15,"Measured"
"34",1962-07-04,0,"Measured",26.7,"Measured",13.9,"Measured"
"35",1962-07-05,0,"Measured",26.7,"Measured",18.3,"Measured"
"36",1962-07-06,0,"Measured",30.6,"Measured",14.4,"Measured"
"37",1962-07-07,0,"Measured",31.7,"Measured",18.3,"Measured"
"38",1962-07-08,0,"Measured",29.4,"Measured",18.3,"Measured"
"39",1962-07-09,0,"Measured",26.7,"Measured",9.4,"Measured"
"40",1962-07-10,0,"Measured",28.9,"Measured",12.8,"Measured"
"41",1962-07-11,0,"Measured",31.1,"Measured",15,"Measured"
"42",1962-07-12,0,"Measured",31.1,"Measured",17.2,"Measured"
"43",1962-07-13,2.5,"Measured",26.1,"Measured",9.4,"Measured"
"44",1962-07-14,2.5,"Measured",22.8,"Measured",13.3,"Measured"
"45",1962-07-15,0,"Measured",22.8,"Measured",12.2,"Measured"
"46",1962-07-16,0,"Measured",20,"Measured",12.8,"Measured"
"47",1962-07-17,0,"Measured",28.9,"Measured",8.9,"Measured"
"48",1962-07-18,0,"Measured",27.8,"Measured",11.7,"Measured"
"49",1962-07-19,2.5,"Measured",27.8,"Measured",11.1,"Measured"
"50",1962-07-20,5.1,"Measured",26.7,"Measured",17.8,"Measured"
"51",1962-07-21,0,"Measured",26.7,"Measured",16.1,"Measured"
"52",1962-07-22,0,"Measured",27.8,"Measured",15.6,"Gap-Filled"
"53",1962-07-23,0,"Measured",22.2,"Measured",12.8,"Measured"
"54",1962-07-24,0,"Measured",28.9,"Measured",10,"Measured"
"55",1962-07-25,2.5,"Measured",27.2,"Measured",13.9,"Measured"
"56",1962-07-26,0,"Measured",27.8,"Measured",6.7,"Measured"
