DATE,PRCP,Source.PRCP,TMAX,Source.TMAX,TMIN,Source.TMIN
1/1/1945,0,Measured,-7.8,Measured,-20.6,Measured
1/2/1945,0,Measured,-11.7,Measured,-23.3,Measured
1/3/1945,0,Measured,-8.9,Measured,-17.8,Measured
1/4/1945,0,Measured,-12.2,Measured,-21.1,Measured
1/5/1945,0.8,Measured,-12.8,Measured,-19.4,Measured
1/6/1945,0.5,Measured,-3.3,Measured,-12.8,Measured
1/7/1945,0,Measured,-2.2,Measured,-5.6,Measured
1/8/1945,1,Measured,-4.4,Measured,-16.7,Measured
1/9/1945,0,Measured,-16.1,Measured,-22.8,Measured
1/10/1945,0,Measured,-11.1,Measured,-18.9,Measured
1/11/1945,0,Measured,1.7,Measured,-20,Measured
1/12/1945,0,Measured,2.2,Measured,-3.9,Measured
1/13/1945,4.3,Measured,-1.1,Measured,-5.6,Measured
1/14/1945,0.3,Measured,-2.2,Measured,-3.3,Measured
1/15/1945,0.8,Measured,-2.2,Measured,-7.2,Measured
1/16/1945,0,Measured,-3.3,Measured,-7.2,Measured
1/17/1945,0,Measured,-0.6,Measured,-11.1,Measured
1/18/1945,0,Measured,-0.6,Measured,-4.4,Measured
1/19/1945,0,Measured,0,Measured,-2.2,Measured
1/20/1945,0.3,Measured,-1.1,Measured,-3.3,Measured
1/21/1945,0,Measured,1.1,Measured,-5,Measured
1/22/1945,0,Measured,0,Measured,-6.7,Measured
1/23/1945,0,Measured,1.7,Measured,-9.4,Measured
1/24/1945,0,Measured,-1.1,Measured,-6.1,Measured
1/25/1945,0,Measured,-2.2,Measured,-6.7,Measured
1/26/1945,0,Measured,-1.1,Measured,-5.6,Measured
1/27/1945,0,Measured,-3.3,Measured,-10,Measured
1/28/1945,0,Measured,-4.4,Measured,-13.9,Measured
1/29/1945,0,Measured,-8.3,Measured,-15,Measured
1/30/1945,0,Measured,-12.8,Measured,-18.9,Measured
1/31/1945,0,Measured,-11.7,Measured,-20.6,Measured
2/1/1945,0,Measured,-10.6,Measured,-19.4,Measured
2/2/1945,0,Measured,-5.6,Measured,-18.9,Measured
2/3/1945,0,Measured,-1.7,Measured,-14.4,Measured
2/4/1945,2,Measured,-1.1,Measured,-4.4,Measured
