Year,Alfalfa,Corn,Fruits/Veg,Small Grains,Soybeans,Hay,Pasture,Developed/High Intensity,Developed/Medium Intensity,Developed/Low Intensity,Developed/Open Space,Deciduous Forest,Grassland (Non-Ag),Herbaceous Wetlands,Woody Wetlands,Open Water,Barren
1786,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1787,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1788,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1789,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1790,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1791,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1792,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1793,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1794,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1795,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1796,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1797,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1798,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1799,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1800,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1801,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1802,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1803,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1804,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1805,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1806,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1807,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1808,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1809,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1810,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1811,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1812,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1813,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
1814,0,0,0,0,0,0,0,0,0,0,0,12226,8765,4890,0,2063,0
