Year,Alfalfa,Corn,Fruits/Veg,Small Grains,Soybeans,Hay,Pasture,Developed/High Intensity,Developed/Medium Intensity,Developed/Low Intensity,Developed/Open Space,Deciduous Forest,Grassland (Non-Ag),Herbaceous Wetlands,Woody Wetlands,Open Water,Barren
2010,2529,8527,71,389,2618,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2011,2531,8499,71,403,2633,1,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2012,2554,8447,71,402,2658,6,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2013,2455,8525,71,402,2683,2,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2014,2564,8506,71,419,2575,3,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2015,2519,8556,71,350,2638,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2016,2477,8574,71,387,2625,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2017,2482,8562,71,396,2623,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2018,2569,8404,71,432,2657,5,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2019,2520,8531,71,358,2657,1,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2020,2487,8240,86,367,2613,101,226,382,937,2952,2674,1652,1352,1545,237,2063,30
2021,2501,8318,86,365,2526,98,226,382,937,2952,2674,1652,1352,1545,237,2063,30
2022,2348,8338,86,377,2646,99,226,382,937,2952,2674,1652,1352,1545,237,2063,30
2023,2519,8238,86,365,2597,89,226,382,937,2952,2674,1652,1352,1545,237,2063,30
2024,2498,8256,86,354,2601,99,226,382,937,2952,2674,1652,1352,1545,237,2063,30
2025,2457,8281,86,372,2583,115,226,382,937,2952,2674,1652,1352,1545,237,2063,30
2026,2493,8224,86,378,2630,83,226,382,937,2952,2674,1652,1352,1545,237,2063,30
2027,2515,8240,86,385,2574,94,226,382,937,2952,2674,1652,1352,1545,237,2063,30
2028,2467,8142,86,379,2719,101,226,382,937,2952,2674,1652,1352,1545,237,2063,30
2029,2500,8165,86,376,2669,98,226,382,937,2952,2674,1652,1352,1545,237,2063,30
2030,2206,7119,175,342,2420,1206,213,576,922,2917,2814,1676,1431,1594,240,2063,30
2031,2175,7057,175,372,2476,1213,213,576,922,2917,2814,1676,1431,1594,240,2063,30
2032,2148,7197,175,344,2422,1182,213,576,922,2917,2814,1676,1431,1594,240,2063,30
2033,2217,7096,175,315,2465,1200,213,576,922,2917,2814,1676,1431,1594,240,2063,30
2034,2316,7072,175,338,2371,1196,213,576,922,2917,2814,1676,1431,1594,240,2063,30
2035,2236,7128,175,362,2407,1160,213,576,922,2917,2814,1676,1431,1594,240,2063,30
2036,2150,7064,175,367,2474,1238,213,576,922,2917,2814,1676,1431,1594,240,2063,30
2037,2198,7132,175,319,2488,1156,213,576,922,2917,2814,1676,1431,1594,240,2063,30
2038,2260,7111,175,362,2373,1187,213,576,922,2917,2814,1676,1431,1594,240,2063,30
2039,2235,7077,175,337,2405,1239,213,576,922,2917,2814,1676,1431,1594,240,2063,30
2040,1254,7408,622,281,2458,748,169,948,1792,2871,2786,1640,1121,1521,233,2063,29
2041,1288,7365,622,286,2446,764,169,948,1792,2871,2786,1640,1121,1521,233,2063,29
2042,1288,7340,622,284,2448,789,169,948,1792,2871,2786,1640,1121,1521,233,2063,29
2043,1241,7469,622,274,2422,743,169,948,1792,2871,2786,1640,1121,1521,233,2063,29
2044,1256,7433,622,275,2441,744,169,948,1792,2871,2786,1640,1121,1521,233,2063,29
2045,1246,7357,622,266,2509,771,169,948,1792,2871,2786,1640,1121,1521,233,2063,29
2046,1257,7408,622,245,2481,758,169,948,1792,2871,2786,1640,1121,1521,233,2063,29
2047,1243,7438,622,276,2470,722,169,948,1792,2871,2786,1640,1121,1521,233,2063,29
2048,1176,7419,622,291,2525,738,169,948,1792,2871,2786,1640,1121,1521,233,2063,29
2049,1264,7376,622,244,2468,797,169,948,1792,2871,2786,1640,1121,1521,233,2063,29
2050,649,7539,1147,238,2474,326,146,1065,2360,2874,2811,1595,914,1490,224,2063,29
2051,639,7621,1147,250,2394,322,146,1065,2360,2874,2811,1595,914,1490,224,2063,29
2052,657,7565,1147,255,2424,325,146,1065,2360,2874,2811,1595,914,1490,224,2063,29
