Year,Alfalfa,Corn,Fruits/Veg,Small Grains,Soybeans,Hay,Pasture,Developed/High Intensity,Developed/Medium Intensity,Developed/Low Intensity,Developed/Open Space,Deciduous Forest,Grassland (Non-Ag),Herbaceous Wetlands,Woody Wetlands,Open Water,Barren
2010,2529,8527,71,389,2618,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2011,2550,8483,71,405,2625,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2012,2556,8534,71,350,2620,7,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2013,2553,8547,71,359,2600,8,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2014,2618,8478,71,369,2598,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2015,2488,8556,71,388,2631,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2016,2489,8571,71,388,2614,5,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2017,2518,8521,71,360,2664,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2018,2481,8622,71,399,2560,5,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2019,2542,8568,71,375,2581,1,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2020,2502,8032,160,387,2424,66,287,390,936,2934,2657,1675,1508,1658,236,2063,29
2021,2530,8032,160,386,2407,56,287,390,936,2934,2657,1675,1508,1658,236,2063,29
2022,2445,8068,160,359,2471,68,287,390,936,2934,2657,1675,1508,1658,236,2063,29
2023,2459,8052,160,399,2442,59,287,390,936,2934,2657,1675,1508,1658,236,2063,29
2024,2486,7987,160,409,2450,79,287,390,936,2934,2657,1675,1508,1658,236,2063,29
2025,2488,7989,160,367,2510,57,287,390,936,2934,2657,1675,1508,1658,236,2063,29
2026,2542,8042,160,408,2366,53,287,390,936,2934,2657,1675,1508,1658,236,2063,29
2027,2403,8065,160,394,2480,69,287,390,936,2934,2657,1675,1508,1658,236,2063,29
2028,2511,8005,160,403,2432,60,287,390,936,2934,2657,1675,1508,1658,236,2063,29
2029,2521,7953,160,370,2503,64,287,390,936,2934,2657,1675,1508,1658,236,2063,29
2030,2448,6315,249,370,2095,335,1376,469,1042,2864,2803,1775,1671,1807,236,2063,26
2031,2437,6350,249,368,2106,302,1376,469,1042,2864,2803,1775,1671,1807,236,2063,26
2032,2463,6347,249,339,2047,367,1376,469,1042,2864,2803,1775,1671,1807,236,2063,26
2033,2429,6310,249,368,2097,359,1376,469,1042,2864,2803,1775,1671,1807,236,2063,26
2034,2488,6331,249,355,2040,349,1376,469,1042,2864,2803,1775,1671,1807,236,2063,26
2035,2427,6270,249,394,2125,347,1376,469,1042,2864,2803,1775,1671,1807,236,2063,26
2036,2415,6311,249,368,2113,356,1376,469,1042,2864,2803,1775,1671,1807,236,2063,26
2037,2417,6300,249,384,2135,327,1376,469,1042,2864,2803,1775,1671,1807,236,2063,26
2038,2525,6282,249,383,2047,326,1376,469,1042,2864,2803,1775,1671,1807,236,2063,26
2039,2456,6328,249,403,2075,301,1376,469,1042,2864,2803,1775,1671,1807,236,2063,26
2040,1751,3542,1667,601,1249,1019,3218,541,1652,2493,1964,1870,1871,2182,234,2063,27
2041,1727,3541,1667,619,1283,992,3218,541,1652,2493,1964,1870,1871,2182,234,2063,27
2042,1735,3634,1667,564,1265,964,3218,541,1652,2493,1964,1870,1871,2182,234,2063,27
2043,1691,3535,1667,598,1296,1042,3218,541,1652,2493,1964,1870,1871,2182,234,2063,27
2044,1788,3458,1667,606,1280,1030,3218,541,1652,2493,1964,1870,1871,2182,234,2063,27
2045,1801,3598,1667,618,1192,953,3218,541,1652,2493,1964,1870,1871,2182,234,2063,27
