Year,Alfalfa,Corn,Fruits/Veg,Small Grains,Soybeans,Hay,Pasture,Developed/High Intensity,Developed/Medium Intensity,Developed/Low Intensity,Developed/Open Space,Deciduous Forest,Grassland (Non-Ag),Herbaceous Wetlands,Woody Wetlands,Open Water,Barren
2010,2529,8527,71,389,2618,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2011,2535,8565,71,385,2580,2,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2012,2571,8517,71,364,2612,3,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2013,2518,8534,71,406,2604,5,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2014,2548,8541,71,379,2595,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2015,2575,8532,71,367,2590,3,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2016,2470,8580,71,425,2591,1,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2017,2473,8523,71,416,2651,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2018,2470,8504,71,387,2704,2,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2019,2584,8527,71,389,2562,5,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2020,2512,8191,85,383,2604,35,264,381,905,2948,2647,1679,1433,1547,237,2063,30
2021,2451,8226,85,385,2634,29,264,381,905,2948,2647,1679,1433,1547,237,2063,30
2022,2516,8254,85,368,2551,36,264,381,905,2948,2647,1679,1433,1547,237,2063,30
2023,2461,8261,85,371,2592,40,264,381,905,2948,2647,1679,1433,1547,237,2063,30
2024,2516,8153,85,390,2632,34,264,381,905,2948,2647,1679,1433,1547,237,2063,30
2025,2505,8281,85,383,2522,34,264,381,905,2948,2647,1679,1433,1547,237,2063,30
2026,2506,8201,85,431,2547,40,264,381,905,2948,2647,1679,1433,1547,237,2063,30
2027,2468,8213,85,369,2636,39,264,381,905,2948,2647,1679,1433,1547,237,2063,30
2028,2525,8109,85,362,2701,28,264,381,905,2948,2647,1679,1433,1547,237,2063,30
2029,2553,8151,85,391,2590,40,264,381,905,2948,2647,1679,1433,1547,237,2063,30
2030,2521,7232,132,390,2428,523,322,472,901,3014,2735,1744,1516,1681,239,2063,31
2031,2512,7238,132,391,2441,512,322,472,901,3014,2735,1744,1516,1681,239,2063,31
2032,2513,7279,132,395,2412,495,322,472,901,3014,2735,1744,1516,1681,239,2063,31
2033,2521,7333,132,366,2348,526,322,472,901,3014,2735,1744,1516,1681,239,2063,31
2034,2541,7245,132,358,2459,491,322,472,901,3014,2735,1744,1516,1681,239,2063,31
2035,2529,7307,132,380,2363,515,322,472,901,3014,2735,1744,1516,1681,239,2063,31
